run_id,algorithm,root_path,target_name,found,found_path,visited_dirs,visited_files,visited_entries,skipped_dirs,error_count,max_frontier_size,max_depth_seen,elapsed_ms
16,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.560311
17,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.584976
18,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.885888
19,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.672403
20,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.692032
1,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.539853
2,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.525957
3,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.511943
4,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.509286
5,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.618803
6,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.737774
7,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.727057
8,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.752254
9,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.753393
10,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.784186
11,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.747802
12,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.532679
13,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.555648
14,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.700328
15,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.725482
16,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.614635
17,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.651285
18,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.568901
19,BFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,27,3,0.569904
20,DFS,/home/strangelove/CS-Stuff/Makalah-StiMa-1/IF2211-Makalah-StiMa-1/testing/no_target,target.txt,0,not_found,40,80,119,0,0,7,3,0.512143
